"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"190","Thiago Ribeiro","Left Winger",25,"11/12","Primera División","Rentistas","Serie A","Cagliari Calcio","Loan fee:1,50 Mill. €",3e+06,"No","Yes",3500000,"Yes",3500000
"191","Víctor Ibarbo","Second Striker",21,"11/12","Liga Águila II","Atl. Nacional","Serie A","Cagliari Calcio","2,00 Mill. €",9e+05,"Yes","No",8500000,"No",NA
"192","Vinícius Araújo","Centre-Forward",20,"13/14","Série A","Cruzeiro","LaLiga","Valencia","3,50 Mill. €",1e+06,"Yes","No",3500000,"Yes",0
"193","Waldo Ponce","Centre-Back",27,"10/11","Primera División","O'Higgins","LaLiga","Racing","Loan fee:315 Th. €",NA,NA,NA,NA,NA,NA
"194","Wallace Oliveira","Right-Back",18,"12/13","Série A","Fluminense","Premier League","Chelsea","5,40 Mill. €",2e+06,"Yes","No",7500000,"No",NA
"195","Wellington Silva","Right Winger",18,"10/11","Série A","Fluminense","Premier League","Arsenal","4,00 Mill. €",8e+05,"Yes","No",2e+06,"Yes",3e+06
"196","Wesley","Central Midfield",23,"10/11","Série A","Santos FC","Bundesliga","Werder Bremen","7,50 Mill. €",6e+06,"Yes","No",8e+06,"Yes",6e+06
"197","Willians","Defensive Midfield",26,"12/13","Série A","Flamengo","Serie A","Udinese Calcio","3,00 Mill. €",3500000,"Yes","No",NA,"Yes",2e+06
"198","Zé Eduardo","Defensive Midfield",18,"10/11","Brazil","Maga","Serie A","Parma","Loan fee:500 Th. €",NA,NA,NA,NA,NA,NA
"199","Zé Love","Centre-Forward",23,"11/12","Série A","Santos FC","Serie A","Genoa","4,50 Mill. €",3e+06,"Yes","Yes",4e+06,"Yes",0
"200","Zé Roberto","Left Midfield",35,"09/10","Primera División","Nacional","Bundesliga","Hamburger SV","4,00 Mill. €",4e+06,"No","Yes",NA,"Yes",0
