FID,COD_NOMBRE,COD_NOM_01,NOM_CALLE_,NOM_CAL_01,GID,COD_DEPTO,x,y
33009,7665,6609,REGIMIENTO 9,MARIANO SOLER,46406685,1,-56.1826953035307,-34.8640270927614
33010,2628,5358,RAMON ESTOMBA,GRAL ENRIQUE PEREDA,46406686,1,-56.1909037972763,-34.8640085011482
33011,1965,1248,JAIME CIBILS,CADIZ,46406687,1,-56.1621952111863,-34.8791378492265
33012,1965,1941,JAIME CIBILS,CHIRIGUANOS,46406688,1,-56.1621952111863,-34.8791378492265
33013,1965,1896,JAIME CIBILS,CHIAVARI,46406689,1,-56.1631164530912,-34.8786148731988
33014,7263,4629,BALTASAR MONTERO VIDAURRETA,GRAL AGUSTIN MUÃ‘OZ,46406690,1,-56.2299191709288,-34.8663658840577
33015,7308,6180,CAP VILLADEMOROS,JUAN JACOBO ROUSSEAU,46406691,1,-56.1350827205633,-34.8630143910605
33016,2548,7126,ESCORPION,VARSOVIA,46406692,1,-56.0979585989677,-34.8213656819261
33017,9408,9074,CH 6 DE MAYO,CALLE 12 METROS,46406693,1,-56.2352349779615,-34.8064152861887
33018,3153,5790,DR HOMERO DE GREGORIO,JUAN JOSE QUESADA,46406694,1,-56.17246047772,-34.8631672467941
33019,3153,3711,DR HOMERO DE GREGORIO,ANDRES LAMAS,46406695,1,-56.1736454844976,-34.8640654374967
33020,8584,4803,PSJE PNAL,LUCAS J OBES,46406696,1,-56.2059222978306,-34.8631084845865
33021,8584,960,PSJE PNAL,ADOLFO BERRO,46406697,1,-56.2073950746809,-34.8640054896556
33022,960,8584,ADOLFO BERRO,PSJE PNAL,46406698,1,-56.2073950746809,-34.8640054896556
33023,3711,3153,ANDRES LAMAS,DR HOMERO DE GREGORIO,46406699,1,-56.1737660677901,-34.864137222458
33024,7041,6051,AGUSTIN DE URTUBEY,AV GRAL RIVERA,46406700,1,-56.1470248652874,-34.9029113394941
33025,7194,5011,VERACIERTO,ING AGR JOSE OTAMENDI,46406701,1,-56.1220312184412,-34.864315830695
33026,960,3516,ADOLFO BERRO,IRIGOITIA,46406702,1,-56.207377456783,-34.8641182159421
33027,1683,2192,CNO CARRASCO,PEDRO COSIO,46406703,1,-56.1094751215188,-34.8699967169359
33028,6315,5994,AV GRAL SAN MARTIN,CNO TTE RINALDI,46406704,1,-56.1683201970547,-34.8268701779685
33029,5595,534,POLONIA,REPUBLICA ARGENTINA,46406705,1,-56.2545735693911,-34.8910370944633
33030,321,5319,DR JAVIER BARRIOS AMORIN,LA PAZ,46406706,1,-56.1867637923585,-34.8989760511373
33031,6084,3348,FRANCISCO RODRIGO,AV  DR. LUIS ALBERTO DE HERRERA,46406707,1,-56.1620603319048,-34.8723469269557
33032,3711,3351,ANDRES LAMAS,MARGARITA URIARTE DE HERRERA,46406708,1,-56.1751823807353,-34.8633897327752
33033,4239,7665,RAMON MARQUEZ,REGIMIENTO 9,46406709,1,-56.1852639683128,-34.8633754297188
33034,3507,375,AV DE LAS INSTRUCCIONES,CNO ANTARES,46406710,1,-56.1452495495147,-34.7899607776048
33035,7129,5358,DR CARLOS VAZ FERREIRA,GRAL ENRIQUE PEREDA,46406711,1,-56.192297319262,-34.8634051000917
33036,960,4803,ADOLFO BERRO,LUCAS J OBES,46406712,1,-56.2086115867559,-34.8627354015244
33037,3680,4060,CNO LA CABRA,CNO LOS TILOS,46406713,1,-56.1373216702592,-34.7646257126284
33038,3247,1791,CNO GUERRA,CEFEO,46406714,1,-56.0990402763571,-34.8231783689517
33039,7056,2118,URUGUAYANA,CONVENIO,46406715,1,-56.2064093143792,-34.8723432591667
33040,3711,3180,ANDRES LAMAS,GUALEGUAY,46406716,1,-56.1693712684962,-34.8665242047555
33041,3711,2754,ANDRES LAMAS,AV GRAL FLORES,46406717,1,-56.1707929803738,-34.8657779108629
33042,3711,471,ANDRES LAMAS,CNEL JUSTO ARECHAGA,46406718,1,-56.1718475939446,-34.8652060418903
33043,3711,2754,ANDRES LAMAS,AV GRAL FLORES,46406719,1,-56.1709314758384,-34.8656993466958
33044,1662,2127,CARLOMAGNO,COPERNICO,46406720,1,-56.12028475046,-34.8328285787144
33045,2754,3711,AV GRAL FLORES,ANDRES LAMAS,46406721,1,-56.1709314758384,-34.8656993466958
33046,7263,801,BALTASAR MONTERO VIDAURRETA,DR VICENTE BASAGOITY,46406722,1,-56.2216981702301,-34.8592057512913
33047,7263,5554,BALTASAR MONTERO VIDAURRETA,PSJE NORTE,46406723,1,-56.2218905166696,-34.8593988192927
33048,4992,5716,MARIA ORTICOCHEA,CLAUDIO PTOLOMEO,46406724,1,-56.2170702963151,-34.8412361421159
33049,2523,4360,ALONSO DE ERCILIA,MENENDEZ Y PELAYO,46406725,1,-56.1401227582749,-34.8638495567451
33050,2157,2523,FRANCISCO VAZQUEZ CORES,ALONSO DE ERCILIA,46406726,1,-56.1412216173483,-34.8645499675146
33051,2157,1995,FRANCISCO VAZQUEZ CORES,TOMAS CLARAMUNT,46406727,1,-56.142082504789,-34.8634121101009
33052,5255,6933,PSJE C,JACINTO TRAPANI,46406728,1,-56.1622007403793,-34.8300693576898
33053,5255,5138,PSJE C,PSJE A,46406729,1,-56.1617033358868,-34.830046240776
33054,2754,3711,AV GRAL FLORES,ANDRES LAMAS,46406730,1,-56.1707929803738,-34.8657779108629
33055,2127,1662,COPERNICO,CARLOMAGNO,46406731,1,-56.12028475046,-34.8328285787144
33056,5338,5314,PSJE F,PSJE PLA A PASAJE F,46406732,1,-56.2467646378186,-34.8639552223018
33057,3015,5277,AV TOMAS GIRIBALDI,PATRIA,46406733,1,-56.1652084441969,-34.914182603187
33058,4716,7521,AMADO NERVO,PABLO ZUFRIATEGUI,46406734,1,-56.2134792963839,-34.863545505193
33059,7083,1002,VALDENSE,AV DR JUAN CARLOS BLANCO,46406735,1,-56.1971325274744,-34.8646748358879
33060,7083,177,VALDENSE,AIGUA,46406736,1,-56.1971946029723,-34.8644456259588
33061,927,1257,VENANCIO BENAVIDEZ,CAIGUA,46406737,1,-56.1946455440053,-34.8645476361853
33062,7447,7602,YUCATAN,20 DE FEBRERO,46406738,1,-56.1481111867528,-34.8646726830862
33063,7447,822,YUCATAN,MAURICIA BATALLA,46406739,1,-56.1475450241593,-34.8639619949954
33064,4122,2325,DR MAGESTED,DARWIN,46406740,1,-56.1843139798468,-34.8649735489085
33065,4122,6609,DR MAGESTED,MARIANO SOLER,46406741,1,-56.1831504665876,-34.8652652387361
33066,822,703,MAURICIA BATALLA,AYUNTAMIENTO,46406742,1,-56.1477345853668,-34.863465756863
33067,822,7447,MAURICIA BATALLA,YUCATAN,46406743,1,-56.1475450241593,-34.8639619949954
33068,6090,7563,FELICIANO RODRIGUEZ,14 DE JULIO,46406744,1,-56.149278286423,-34.8990352405067
33069,6051,7041,AV GRAL RIVERA,AGUSTIN DE URTUBEY,46406745,1,-56.1470248652874,-34.902911339494
33070,3660,3711,FRANCISCO LAVANDEIRA,ANDRES LAMAS,46406746,1,-56.1724466241078,-34.8647893228118
33071,2192,1683,PEDRO COSIO,CNO CARRASCO,46406747,1,-56.1094751215188,-34.8699967169359
33072,6315,3240,AV GRAL SAN MARTIN,GUENOAS,46406748,1,-56.1708841550406,-34.8507648731483
33073,597,1537,BV GRAL ARTIGAS,FRANCISCO CANARO,46406749,1,-56.1646549477518,-34.8988875541127
33074,5790,471,JUAN JOSE QUESADA,CNEL JUSTO ARECHAGA,46406750,1,-56.1710080072407,-34.8639373367188
33075,7578,7065,AV 19 DE ABRIL,DR CARLOS MARTINEZ VIGIL,46406751,1,-56.2014240909696,-34.863017934296
33076,7578,4044,AV 19 DE ABRIL,LUGANO,46406752,1,-56.1993609947314,-34.8615647438726
33077,4263,3171,DR MARTIN C MARTINEZ,GUADALUPE,46406753,1,-56.1745481261076,-34.8803815883273
33078,4263,6036,DR MARTIN C MARTINEZ,RIVADAVIA,46406754,1,-56.1744999866609,-34.8811219267206
33079,570,3348,JUAN ARRIETA,AV  DR. LUIS ALBERTO DE HERRERA,46406755,1,-56.1611404720722,-34.872934675919
33080,570,1758,JUAN ARRIETA,JOSE CATALA,46406756,1,-56.1624383535091,-34.8744567338207
33081,4585,597,AV DR LUIS MORQUIO,BV GRAL ARTIGAS,46406757,1,-56.1646286075885,-34.8973412637919
33082,4585,7572,AV DR LUIS MORQUIO,AV 18 DE JULIO,46406758,1,-56.1646286075885,-34.8973412637919
33083,208,4395,CNO ALCION,AV DON PEDRO DE MENDOZA,46406759,1,-56.1660786854801,-34.7670320719571
33084,208,3680,CNO ALCION,CNO LA CABRA,46406760,1,-56.1660786854801,-34.7670320719571
33085,705,4536,AZAMBUYA,MONTE CASEROS,46406761,1,-56.1603863057679,-34.8831447963899
33086,705,4536,AZAMBUYA,MONTE CASEROS,46406762,1,-56.1604220410571,-34.8831108207924
33087,468,1995,JUAN VICENTE ARCOS,TOMAS CLARAMUNT,46406763,1,-56.144013700761,-34.8640608801107
33088,2932,4803,FEDERICO GARCIA LORCA,LUCAS J OBES,46406764,1,-56.2070596551504,-34.8629563706096
33089,2932,960,FEDERICO GARCIA LORCA,ADOLFO BERRO,46406765,1,-56.2075254891375,-34.8638969337342
33090,2932,1070,FEDERICO GARCIA LORCA,JUAN M BONIFAZ,46406766,1,-56.2070596551504,-34.8629563706096
33091,4677,2127,NAPOLES,COPERNICO,46406767,1,-56.1178235887994,-34.831373285566
33092,7602,1995,20 DE FEBRERO,TOMAS CLARAMUNT,46406768,1,-56.145906693633,-34.8650026663999
33093,7602,3780,20 DE FEBRERO,LARRAVIDE,46406769,1,-56.146268072735,-34.8649476869282
33094,2361,1537,ACEVEDO DIAZ,FRANCISCO CANARO,46406770,1,-56.1669131983607,-34.8990663705048
33095,2754,4956,AV GRAL FLORES,BV JOSE BATLLE Y ORDOÃ‘EZ,46406771,1,-56.1693859868952,-34.8634853297941
33096,3507,3829,AV DE LAS INSTRUCCIONES,CNO LAS TRES MARIAS,46406772,1,-56.1184199004608,-34.7637647874008
33097,2825,6093,FRONTERAS,CNO OSVALDO RODRIGUEZ,46406773,1,-56.1302770513651,-34.7848828094427
33098,2825,2733,FRONTERAS,FIRMAMENTO,46406774,1,-56.1308560711789,-34.7828233019869
33099,1002,7083,AV DR JUAN CARLOS BLANCO,VALDENSE,46406775,1,-56.1971325274744,-34.8646748358879
33100,3507,375,AV DE LAS INSTRUCCIONES,CNO ANTARES,46406776,1,-56.1453142048565,-34.7899667626017
